pokemon,format,won,lost,moves
Drifloon,[Gen 4] UBERS,3,7,"['Hypnosis', 'Ominous Wind', 'Psychic']"
Drifloon,[Gen 4] UU,2,0,"['Shadow Ball', 'Substitute', 'Thunderbolt']"
Drowzee,[Gen 1] NU,83,78,"['Hypnosis', 'Psychic', 'Rest', 'Seismic Toss', 'Thunder Wave']"
Drowzee,[Gen 1] OU,71,96,"['Absorb', 'Bide', 'Bite', 'Blizzard', 'Body Slam', 'Bubble Beam', 'Comet Punch', 'Confuse Ray', 'Confusion', 'Counter', 'Defense Curl', 'Disable', 'Double Team', 'Dream Eater', 'Drill Peck', 'Flamethrower', 'Fly', 'Focus Energy', 'Growl', 'Harden', 'Headbutt', 'Hydro Pump', 'Hyper Beam', 'Hypnosis', 'Karate Chop', 'Leech Life', 'Lick', 'Mega Drain', 'Mega Kick', 'Mega Punch', 'Metronome', 'Minimize', 'Pay Day', 'Poison Gas', 'Pound', 'Psychic', 'Reflect', 'Rest', 'Scratch', 'Seismic Toss', 'Sing', 'Slash', 'Sleep Powder', 'Sludge', 'Spike Cannon', 'Stomp', 'Stun Spore', 'Submission', 'Substitute', 'Supersonic', 'Surf', 'Swords Dance', 'Tackle', 'Thunder Wave', 'Tri Attack', 'Vice Grip', 'Wing Attack']"
Drowzee,[Gen 1] UBERS,7,6,"['Confusion', 'Disable', 'Hypnosis', 'Psychic', 'Seismic Toss', 'Thunder Wave']"
Drowzee,[Gen 1] UU,19,15,"['Counter', 'Hypnosis', 'Mega Kick', 'Psychic', 'Rest', 'Seismic Toss', 'Submission', 'Thunder Wave']"
Drowzee,[Gen 2] NU,13,17,"['Amnesia', 'Curse', 'Fire Punch', 'Hypnosis', 'Light Screen', 'Protect', 'Psychic', 'Reflect', 'Rest', 'Seismic Toss', 'Shadow Ball', 'Sleep Talk', 'Thunder Wave']"
Drowzee,[Gen 2] OU,24,32,"['Confusion', 'Counter', 'Disable', 'Dynamic Punch', 'Fire Punch', 'Headbutt', 'Hidden Power', 'Hypnosis', 'Ice Punch', 'Light Screen', 'Pound', 'Protect', 'Psychic', 'Rest', 'Shadow Ball', 'Sleep Talk', 'Thunder Punch', 'Thunder Wave', 'Toxic']"
Drowzee,[Gen 2] UBERS,0,1,[]
Drowzee,[Gen 2] UU,1,5,"['Light Screen', 'Psychic', 'Thunder Wave']"
Drowzee,[Gen 3] NU,44,44,"['Calm Mind', 'Fire Punch', 'Protect', 'Psychic', 'Seismic Toss', 'Shadow Ball', 'Sunny Day', 'Thunder Wave', 'Toxic', 'Wish']"
Drowzee,[Gen 3] OU,55,64,"['Calm Mind', 'Counter', 'Dream Eater', 'Fire Punch', 'Hypnosis', 'Ice Punch', 'Light Screen', 'Protect', 'Psychic', 'Reflect', 'Rest', 'Seismic Toss', 'Shadow Ball', 'Substitute', 'Taunt', 'Thunder Punch', 'Thunder Wave', 'Toxic', 'Wish']"
Drowzee,[Gen 3] UBERS,0,4,"['Double-Edge', 'Hidden Power', 'Metronome', 'Poison Powder', 'Screech', 'Seismic Toss', 'Shadow Ball', 'Skill Swap', 'Slack Off', 'Swift', 'Wish']"
Drowzee,[Gen 3] UU,2,4,"['Protect', 'Seismic Toss', 'Thunder Wave', 'Toxic', 'Wish']"
Drowzee,[Gen 4] OU,4,10,"['Calm Mind', 'Confusion', 'Dream Eater', 'Headbutt', 'Hypnosis', 'Poison Gas', 'Psychic', 'Rain Dance', 'Struggle', 'Toxic', 'Wish']"
Drowzee,[Gen 4] UBERS,3,6,['Confusion']
Dubwool,[Gen 1] OU,1,4,[]
Dudunsparce,[Gen 3] UBERS,1,0,"['Ancient Power', 'Earthquake', 'Thunder Wave']"
Dugtrio,[Gen 1] OU,999,1117,"['Bide', 'Body Slam', 'Confuse Ray', 'Cut', 'Dig', 'Double-Edge', 'Earthquake', 'Explosion', 'Growl', 'Hyper Beam', 'Mimic', 'Rage', 'Recover', 'Rest', 'Rock Slide', 'Sand Attack', 'Slash', 'Sleep Powder', 'Soft-Boiled', 'Struggle', 'Substitute', 'Take Down', 'Thunder Wave', 'Toxic']"
Dugtrio,[Gen 1] UBERS,17,25,"['Body Slam', 'Earthquake', 'Fissure', 'Hyper Beam', 'Mimic', 'Rock Slide', 'Sand Attack', 'Slash', 'Substitute', 'Toxic']"
Dugtrio,[Gen 1] UU,1129,1201,"['Body Slam', 'Earthquake', 'Hyper Beam', 'Mimic', 'Rest', 'Rock Slide', 'Sand Attack', 'Slash', 'Substitute', 'Toxic']"
Dugtrio,[Gen 2] NU,289,290,"['Ancient Power', 'Body Slam', 'Curse', 'Double-Edge', 'Earthquake', 'Hidden Power', 'Magnitude', 'Protect', 'Pursuit', 'Rest', 'Return', 'Rock Slide', 'Sand Attack', 'Screech', 'Slash', 'Sleep Talk', 'Sludge Bomb', 'Substitute', 'Swagger', 'Thief', 'Toxic', 'Tri Attack']"
Dugtrio,[Gen 2] OU,214,215,"['Ancient Power', 'Beat Up', 'Body Slam', 'Curse', 'Dig', 'Earthquake', 'Growl', 'Hidden Power', 'Hyper Beam', 'Protect', 'Pursuit', 'Rest', 'Rock Slide', 'Sand Attack', 'Screech', 'Slash', 'Sleep Talk', 'Sludge Bomb', 'Substitute', 'Swagger', 'Thief', 'Toxic', 'Tri Attack']"
Dugtrio,[Gen 2] UBERS,9,8,"['Earthquake', 'Protect', 'Rock Slide', 'Sand Attack', 'Screech', 'Substitute', 'Thief', 'Toxic']"
Dugtrio,[Gen 2] UU,27,36,"['Earthquake', 'Hidden Power', 'Protect', 'Rock Slide', 'Screech', 'Sludge Bomb', 'Substitute', 'Swagger', 'Thief', 'Toxic', 'Tri Attack']"
Dugtrio,[Gen 3] OU,29952,33922,"['Aerial Ace', 'Ancient Power', 'Attract', 'Beat Up', 'Body Slam', 'Charm', 'Cut', 'Dig', 'Double-Edge', 'Earthquake', 'Endure', 'Facade', 'Frustration', 'Fury Swipes', 'Growl', 'Hidden Power', 'Hyper Beam', 'Magnitude', 'Memento', 'Mimic', 'Mud-Slap', 'Protect', 'Pursuit', 'Rest', 'Return', 'Rock Slide', 'Rock Tomb', 'Sand Attack', 'Sandstorm', 'Screech', 'Slash', 'Sleep Talk', 'Sludge Bomb', 'Struggle', 'Substitute', 'Sunny Day', 'Swagger', 'Swords Dance', 'Thief', 'Toxic', 'Tri Attack']"
Dugtrio,[Gen 3] UBERS,95,148,"['Aerial Ace', 'Ancient Power', 'Beat Up', 'Body Slam', 'Charm', 'Cut', 'Double-Edge', 'Earthquake', 'Fury Swipes', 'Hidden Power', 'Magnitude', 'Mud-Slap', 'Protect', 'Rest', 'Rock Slide', 'Sand Tomb', 'Scratch', 'Screech', 'Slash', 'Sludge Bomb', 'Struggle', 'Substitute', 'Thief', 'Toxic', 'Tri Attack']"
Dugtrio,[Gen 4] NU,0,2,"['Earthquake', 'Rock Slide', 'Stealth Rock']"
Dugtrio,[Gen 4] OU,5107,5688,"['Aerial Ace', 'Ancient Power', 'Beat Up', 'Captivate', 'Charm', 'Dig', 'Double-Edge', 'Earth Power', 'Earthquake', 'Endure', 'Hidden Power', 'Magnitude', 'Natural Gift', 'Night Slash', 'Protect', 'Pursuit', 'Return', 'Reversal', 'Rock Slide', 'Rock Tomb', 'Sand Attack', 'Screech', 'Shadow Claw', 'Sludge Bomb', 'Stealth Rock', 'Stone Edge', 'Struggle', 'Substitute', 'Sucker Punch', 'Sunny Day', 'Swagger', 'Thief', 'Toxic', 'Tri Attack']"
Dugtrio,[Gen 4] UBERS,158,190,"['Aerial Ace', 'Attract', 'Beat Up', 'Body Slam', 'Double-Edge', 'Earthquake', 'Endure', 'Hidden Power', 'Mud-Slap', 'Night Slash', 'Protect', 'Pursuit', 'Return', 'Reversal', 'Rock Slide', 'Sand Attack', 'Screech', 'Shadow Claw', 'Slash', 'Stealth Rock', 'Stone Edge', 'Substitute', 'Sucker Punch', 'Sunny Day', 'Swagger', 'Toxic']"
Dugtrio,[Gen 4] UU,674,830,"['Aerial Ace', 'Beat Up', 'Body Slam', 'Dig', 'Double-Edge', 'Earth Power', 'Earthquake', 'Endure', 'Night Slash', 'Protect', 'Pursuit', 'Reversal', 'Rock Slide', 'Sand Tomb', 'Screech', 'Shadow Claw', 'Sludge Bomb', 'Stealth Rock', 'Stone Edge', 'Struggle', 'Substitute', 'Sucker Punch', 'Sunny Day', 'Toxic']"
Dugtrio,[gen 3] OU,10,8,[]
Dugtrio-Alola,[Gen 1] OU,0,2,[]
Dugtrio-Alola,[Gen 3] UBERS,0,1,[]
Dunsparce,[Gen 2] NU,51,62,"['Ancient Power', 'Curse', 'Flamethrower', 'Frustration', 'Glare', 'Headbutt', 'Hidden Power', 'Psych Up', 'Pursuit', 'Rest', 'Return', 'Sleep Talk', 'Spite', 'Swagger', 'Thunder', 'Thunderbolt', 'Toxic']"
Dunsparce,[Gen 2] OU,37,37,"['Ancient Power', 'Attract', 'Curse', 'Defense Curl', 'Flamethrower', 'Glare', 'Headbutt', 'Hidden Power', 'Iron Tail', 'Protect', 'Psych Up', 'Rage', 'Rain Dance', 'Rest', 'Return', 'Rollout', 'Screech', 'Sleep Talk', 'Spite', 'Sunny Day', 'Swagger', 'Thunder']"
Dunsparce,[Gen 2] UBERS,2,8,"['Curse', 'Dig', 'Glare', 'Rock Slide', 'Zap Cannon']"
Dunsparce,[Gen 2] UU,11,10,"['Curse', 'Flamethrower', 'Frustration', 'Glare', 'Headbutt', 'Protect', 'Rest', 'Return', 'Sleep Talk', 'Strength', 'Sunny Day', 'Thunderbolt', 'Toxic']"
Dunsparce,[Gen 3] NU,25,26,"['Ancient Power', 'Body Slam', 'Curse', 'Earthquake', 'Fire Blast', 'Flamethrower', 'Glare', 'Headbutt', 'Hidden Power', 'Ice Beam', 'Pursuit', 'Rest', 'Rock Slide', 'Shadow Ball', 'Sleep Talk', 'Snore', 'Substitute', 'Thunder Wave']"
Dunsparce,[Gen 3] OU,264,289,"['Ancient Power', 'Astonish', 'Attract', 'Bite', 'Blizzard', 'Body Slam', 'Calm Mind', 'Counter', 'Curse', 'Defense Curl', 'Double-Edge', 'Earthquake', 'Endeavor', 'Endure', 'Fire Blast', 'Flamethrower', 'Glare', 'Headbutt', 'Hidden Power', 'Ice Beam', 'Iron Tail', 'Mud-Slap', 'Protect', 'Rain Dance', 'Rest', 'Return', 'Rock Slide', 'Rock Smash', 'Shadow Ball', 'Sleep Talk', 'Solar Beam', 'Struggle', 'Substitute', 'Sunny Day', 'Thunder', 'Thunder Wave', 'Thunderbolt', 'Toxic', 'Water Pulse', 'Yawn']"
Dunsparce,[Gen 3] UBERS,3,2,"['Fire Blast', 'Glare', 'Headbutt', 'Pursuit', 'Rock Slide', 'Shadow Ball', 'Thunder Wave']"
Dunsparce,[Gen 3] UU,5,5,"['Ancient Power', 'Body Slam', 'Curse', 'Earthquake', 'Headbutt', 'Return', 'Rock Slide', 'Shadow Ball', 'Substitute', 'Thunder Wave']"
Dunsparce,[Gen 4] NU,7,12,"['Bite', 'Body Slam', 'Curse', 'Earthquake', 'Glare', 'Headbutt', 'Roost', 'Stealth Rock', 'Substitute', 'Thunder Wave', 'Zen Headbutt']"
Dunsparce,[Gen 4] OU,30,48,"['Ancient Power', 'Bite', 'Body Slam', 'Calm Mind', 'Charge Beam', 'Curse', 'Earthquake', 'Glare', 'Headbutt', 'Ice Beam', 'Last Resort', 'Pain Split', 'Poison Jab', 'Protect', 'Rain Dance', 'Rest', 'Rock Slide', 'Roost', 'Stealth Rock', 'Substitute', 'Thunder Wave', 'Water Pulse', 'Zen Headbutt']"
Dunsparce,[Gen 4] UBERS,18,20,"['Body Slam', 'Endeavor', 'Glare', 'Headbutt', 'Rest', 'Rock Slide', 'Sleep Talk', 'Stealth Rock', 'Thunder Wave', 'Toxic']"
Dunsparce,[Gen 4] UU,3,4,"['Agility', 'Body Slam', 'Curse', 'Glare', 'Headbutt', 'Rest', 'Rock Slide', 'Roost', 'Stealth Rock', 'Zen Headbutt']"
Duohm,[Gen 3] UBERS,0,1,[]
Dusclops,[Gen 3] OU,3580,4357,"['Absorb', 'Ancient Power', 'Aromatherapy', 'Astonish', 'Attract', 'Aurora Beam', 'Baton Pass', 'Bide', 'Bind', 'Blizzard', 'Body Slam', 'Bonemerang', 'Brick Break', 'Bulk Up', 'Bullet Seed', 'Calm Mind', 'Charm', 'Confuse Ray', 'Cosmic Power', 'Counter', 'Curse', 'Destiny Bond', 'Disable', 'Double Slap', 'Double-Edge', 'Dragon Dance', 'Dragon Rage', 'Dynamic Punch', 'Earthquake', 'Encore', 'Endure', 'Facade', 'Feint Attack', 'Fire Blast', 'Fire Punch', 'Flash', 'Fly', 'Focus Punch', 'Foresight', 'Frenzy Plant', 'Frustration', 'Fury Cutter', 'Future Sight', 'Glare', 'Growl', 'Growth', 'Headbutt', 'Hidden Power', 'Horn Attack', 'Horn Drill', 'Hydro Cannon', 'Hyper Beam', 'Ice Beam', 'Ice Punch', 'Icy Wind', 'Imprison', 'Jump Kick', 'Karate Chop', 'Kinesis', 'Leech Seed', 'Light Screen', 'Magnitude', 'Mean Look', 'Mega Kick', 'Megahorn', 'Memento', 'Metal Claw', 'Metal Sound', 'Metronome', 'Mimic', 'Mud-Slap', 'Night Shade', 'Outrage', 'Pain Split', 'Pay Day', 'Perish Song', 'Poison Powder', 'Powder Snow', 'Protect', 'Psych Up', 'Psychic', 'Pursuit', 'Rain Dance', 'Recover', 'Rest', 'Return', 'Rock Slide', 'Rock Tomb', 'Rolling Kick', 'Secret Power', 'Seismic Toss', 'Shadow Ball', 'Shadow Punch', 'Sharpen', 'Silver Wind', 'Skill Swap', 'Slack Off', 'Sleep Powder', 'Sleep Talk', 'Snatch', 'Snore', 'Soft-Boiled', 'Spikes', 'Spore', 'Stomp', 'Struggle', 'Substitute', 'Sunny Day', 'Superpower', 'Swagger', 'Swords Dance', 'Tail Whip', 'Take Down', 'Taunt', 'Thief', 'Thunder Punch', 'Thunder Wave', 'Torment', 'Toxic', 'Transform', 'Vital Throw', 'Will-O-Wisp', 'Wing Attack', 'Yawn']"
Dusclops,[Gen 3] UBERS,116,113,"['Blizzard', 'Bulk Up', 'Calm Mind', 'Confuse Ray', 'Curse', 'Destiny Bond', 'Earthquake', 'Fire Punch', 'Focus Punch', 'Ice Beam', 'Imprison', 'Mean Look', 'Night Shade', 'Pain Split', 'Protect', 'Pursuit', 'Rest', 'Seismic Toss', 'Shadow Ball', 'Shadow Punch', 'Sleep Talk', 'Snatch', 'Substitute', 'Taunt', 'Thief', 'Thunder Punch', 'Toxic', 'Will-O-Wisp']"
Dusclops,[Gen 3] UU,7,8,"['Calm Mind', 'Earthquake', 'Focus Punch', 'Night Shade', 'Pain Split', 'Protect', 'Rest', 'Shadow Ball', 'Sleep Talk', 'Will-O-Wisp']"
Dusclops,[Gen 3] UUBL,0,1,"['Night Shade', 'Will-O-Wisp']"
Dusclops,[Gen 4] NU,188,171,"['Calm Mind', 'Curse', 'Dark Pulse', 'Destiny Bond', 'Disable', 'Earthquake', 'Focus Punch', 'Hidden Power', 'Ice Beam', 'Mean Look', 'Memento', 'Night Shade', 'Pain Split', 'Protect', 'Rest', 'Seismic Toss', 'Shadow Ball', 'Shadow Punch', 'Shadow Sneak', 'Sleep Talk', 'Struggle', 'Substitute', 'Toxic', 'Trick Room', 'Will-O-Wisp']"
Dusclops,[Gen 4] OU,90,113,"['Astonish', 'Blizzard', 'Brick Break', 'Calm Mind', 'Confuse Ray', 'Counter', 'Curse', 'Dark Pulse', 'Destiny Bond', 'Earthquake', 'Future Sight', 'Ice Beam', 'Mean Look', 'Memento', 'Night Shade', 'Pain Split', 'Payback', 'Protect', 'Psych Up', 'Rain Dance', 'Rest', 'Seismic Toss', 'Shadow Ball', 'Shadow Punch', 'Shadow Sneak', 'Sleep Talk', 'Struggle', 'Sucker Punch', 'Swagger', 'Taunt', 'Thief', 'Thunder Punch', 'Toxic', 'Trick', 'Trick Room', 'Will-O-Wisp']"
Dusclops,[Gen 4] UBERS,223,270,"['Acid Armor', 'Aerial Ace', 'Air Cutter', 'Air Slash', 'Amnesia', 'Aqua Jet', 'Aqua Ring', 'Arm Thrust', 'Attack Order', 'Aura Sphere', 'Avalanche', 'Barrier', 'Baton Pass', 'Beat Up', 'Belly Drum', 'Blast Burn', 'Blaze Kick', 'Blizzard', 'Body Slam', 'Bonemerang', 'Bounce', 'Brick Break', 'Bubble Beam', 'Bug Buzz', 'Bulk Up', 'Bullet Seed', 'Calm Mind', 'Captivate', 'Close Combat', 'Confuse Ray', 'Constrict', 'Conversion', 'Conversion 2', 'Cosmic Power', 'Cotton Spore', 'Crabhammer', 'Cross Chop', 'Crunch', 'Crush Claw', 'Crush Grip', 'Curse', 'Cut', 'Dark Pulse', 'Defend Order', 'Defense Curl', 'Destiny Bond', 'Dive', 'Dizzy Punch', 'Doom Desire', 'Double Slap', 'Draco Meteor', 'Dragon Dance', 'Dragon Rush', 'Drill Peck', 'Dynamic Punch', 'Earthquake', 'Egg Bomb', 'Embargo', 'Energy Ball', 'Extrasensory', 'Extreme Speed', 'Facade', 'Fake Out', 'False Swipe', 'Feint Attack', 'Flail', 'Flame Wheel', 'Flare Blitz', 'Flash', 'Flash Cannon', 'Fling', 'Focus Blast', 'Focus Energy', 'Foresight', 'Frustration', 'Fury Attack', 'Fury Swipes', 'Future Sight', 'Gastro Acid', 'Giga Impact', 'Grass Knot', 'Grass Whistle', 'Growl', 'Growth', 'Gust', 'Hammer Arm', 'Headbutt', 'Heal Block', 'Heart Swap', 'Heat Wave', 'Hidden Power', 'High Jump Kick', 'Howl', 'Hydro Cannon', 'Hydro Pump', 'Hyper Beam', 'Ice Beam', 'Ice Punch', 'Ice Shard', 'Imprison', 'Ingrain', 'Iron Defense', 'Iron Tail', 'Karate Chop', 'Knock Off', 'Leaf Blade', 'Leaf Storm', 'Leech Seed', 'Lock-On', 'Lunar Dance', 'Luster Purge', 'Mach Punch', 'Magical Leaf', 'Magnet Bomb', 'Magnet Rise', 'Magnitude', 'Mega Drain', 'Mega Kick', 'Memento', 'Metal Burst', 'Meteor Mash', 'Metronome', 'Mind Reader', 'Mirror Shot', 'Mist', 'Mist Ball', 'Morning Sun', 'Needle Arm', 'Night Shade', 'Night Slash', 'Nightmare', 'Octazooka', 'Overheat', 'Pain Split', 'Pay Day', 'Payback', 'Peck', 'Petal Dance', 'Pin Missile', 'Pluck', 'Poison Fang', 'Poison Powder', 'Poison Sting', 'Powder Snow', 'Power Swap', 'Power Whip', 'Present', 'Protect', 'Psybeam', 'Psycho Cut', 'Psycho Shift', 'Psywave', 'Punishment', 'Pursuit', 'Rain Dance', 'Rapid Spin', 'Recycle', 'Reflect', 'Refresh', 'Rest', 'Return', 'Roar', 'Roar Of Time', 'Rock Slide', 'Rock Throw', 'Rock Tomb', 'Rock Wrecker', 'Role Play', 'Rolling Kick', 'Rollout', 'Sacred Fire', 'Sand Attack', 'Sand Tomb', 'Sandstorm', 'Scratch', 'Seismic Toss', 'Shadow Ball', 'Shadow Claw', 'Shadow Punch', 'Shadow Sneak', 'Sheer Cold', 'Signal Beam', 'Skill Swap', 'Skull Bash', 'Sky Uppercut', 'Slash', 'Sleep Talk', 'Sludge', 'Smelling Salts', 'Smog', 'Smokescreen', 'Snore', 'Soft-Boiled', 'Solar Beam', 'Sonic Boom', 'Spark', 'Spider Web', 'Spikes', 'Spite', 'Splash', 'Spore', 'Stockpile', 'Struggle', 'Stun Spore', 'Substitute', 'Sucker Punch', 'Sunny Day', 'Super Fang', 'Surf', 'Swagger', 'Swallow', 'Swift', 'Swords Dance', 'Tail Whip', 'Tailwind', 'Take Down', 'Taunt', 'Teleport', 'Thrash', 'Thunder Fang', 'Thunder Punch', 'Thunder Shock', 'Torment', 'Toxic', 'Transform', 'Tri Attack', 'Trick Room', 'Triple Kick', 'Twineedle', 'U-Turn', 'Uproar', 'Vacuum Wave', 'Vine Whip', 'Vise Grip', 'Vital Throw', 'Wake-Up Slap', 'Water Spout', 'Waterfall', 'Weather Ball', 'Whirlwind', 'Will-O-Wisp', 'Wring Out', 'Yawn', 'Zap Cannon', 'Zen Headbutt']"
Dusclops,[Gen 4] UU,43,51,"['Destiny Bond', 'Earthquake', 'Night Shade', 'Pain Split', 'Protect', 'Rest', 'Seismic Toss', 'Shadow Ball', 'Shadow Punch', 'Shadow Sneak', 'Sleep Talk', 'Substitute', 'Taunt', 'Toxic', 'Trick Room', 'Will-O-Wisp']"
Dusclops,[gen 3] OU,2,2,[]
Dusknoir,[Gen 3] OU,1,0,[]
Dusknoir,[Gen 4] OU,2136,2941,"['Ancient Power', 'Astonish', 'Baton Pass', 'Bind', 'Blizzard', 'Body Slam', 'Brick Break', 'Bubble Beam', 'Calm Mind', 'Charge', 'Charm', 'Confuse Ray', 'Counter', 'Curse', 'Dark Pulse', 'Destiny Bond', 'Disable', 'Double-Edge', 'Dragon Breath', 'Dragon Dance', 'Dream Eater', 'Dynamic Punch', 'Earthquake', 'Endure', 'Extrasensory', 'Extreme Speed', 'Facade', 'Feint Attack', 'Fire Punch', 'Flash', 'Fling', 'Focus Blast', 'Focus Punch', 'Future Sight', 'Giga Impact', 'Gravity', 'Hidden Power', 'Hydro Cannon', 'Hyper Beam', 'Ice Beam', 'Ice Punch', 'Ice Shard', 'Imprison', 'Ingrain', 'Mean Look', 'Mega Punch', 'Memento', 'Metal Sound', 'Metronome', 'Morning Sun', 'Mud Sport', 'Mud-Slap', 'Night Shade', 'Octazooka', 'Ominous Wind', 'Pain Split', 'Payback', 'Poison Fang', 'Poison Gas', 'Power Whip', 'Present', 'Protect', 'Psych Up', 'Psychic', 'Pursuit', 'Rain Dance', 'Rest', 'Return', 'Rock Slide', 'Rock Smash', 'Rock Tomb', 'Scratch', 'Secret Power', 'Seismic Toss', 'Shadow Ball', 'Shadow Punch', 'Shadow Sneak', 'Sheer Cold', 'Skill Swap', 'Sleep Talk', 'Snatch', 'Snore', 'Soft-Boiled', 'Solar Beam', 'Spikes', 'Spit Up', 'Spite', 'Splash', 'Spore', 'Struggle', 'Substitute', 'Sucker Punch', 'Sunny Day', 'Swagger', 'Synthesis', 'Tackle', 'Taunt', 'Teeter Dance', 'Thief', 'Thunder', 'Thunder Punch', 'Torment', 'Toxic', 'Transform', 'Trick', 'Trick Room', 'Vacuum Wave', 'Volt Tackle', 'Waterfall', 'Weather Ball', 'Will-O-Wisp', 'Wing Attack']"
Dusknoir,[Gen 4] UBERS,48,63,"['Assurance', 'Blizzard', 'Body Slam', 'Brick Break', 'Calm Mind', 'Confuse Ray', 'Curse', 'Destiny Bond', 'Disable', 'Dragon Rush', 'Earthquake', 'Fire Punch', 'Flamethrower', 'Focus Punch', 'Grass Whistle', 'Hidden Power', 'Howl', 'Hydro Pump', 'Ice Punch', 'Iron Head', 'Last Resort', 'Magma Storm', 'Metal Burst', 'Metronome', 'Milk Drink', 'Natural Gift', 'Night Shade', 'Ominous Wind', 'Pain Split', 'Payback', 'Pin Missile', 'Protect', 'Pursuit', 'Refresh', 'Rest', 'Rock Smash', 'Seismic Toss', 'Shadow Punch', 'Shadow Sneak', 'Skill Swap', 'Sleep Talk', 'Stone Edge', 'Substitute', 'Sucker Punch', 'Sweet Kiss', 'Taunt', 'Thunder Punch', 'Toxic', 'Toxic Spikes', 'Transform', 'Trick', 'Trick Room', 'Water Pulse', 'Weather Ball', 'Whirlwind', 'Will-O-Wisp']"
Dusknoir,[Gen 4] UU,0,2,"['Night Shade', 'Pain Split', 'Taunt']"
Dusknoir,[gen 4] OU,0,1,[]
Duskull,[Gen 3] NU,41,42,"['Confuse Ray', 'Memento', 'Night Shade', 'Pain Split', 'Protect', 'Rest', 'Shadow Ball', 'Sleep Talk', 'Sunny Day', 'Taunt', 'Toxic', 'Will-O-Wisp']"
Duskull,[Gen 3] OU,172,186,"['Body Slam', 'Calm Mind', 'Confuse Ray', 'Curse', 'Destiny Bond', 'Disable', 'Double-Edge', 'Grudge', 'Hidden Power', 'Ice Beam', 'Icy Wind', 'Imprison', 'Mean Look', 'Memento', 'Night Shade', 'Pain Split', 'Protect', 'Pursuit', 'Recover', 'Rest', 'Shadow Ball', 'Sleep Talk', 'Snatch', 'Soft-Boiled', 'Substitute', 'Taunt', 'Thief', 'Toxic', 'Will-O-Wisp']"
Duskull,[Gen 3] UBERS,3,3,"['Body Slam', 'Memento', 'Night Shade', 'Pain Split', 'Protect', 'Rest', 'Sleep Talk', 'Toxic', 'Will-O-Wisp']"
Duskull,[Gen 3] UU,2,3,"['Ice Beam', 'Night Shade', 'Pain Split', 'Rest', 'Will-O-Wisp']"
Duskull,[Gen 4] OU,3,8,"['Calm Mind', 'Confuse Ray', 'Curse', 'Destiny Bond', 'Future Sight', 'Ice Beam', 'Memento', 'Night Shade', 'Pain Split', 'Protect', 'Pursuit', 'Rest', 'Return', 'Shadow Sneak', 'Trick Room', 'Will-O-Wisp']"
Duskull,[Gen 4] UBERS,1,3,"['Destiny Bond', 'Future Sight', 'Pain Split', 'Psychic', 'Pursuit', 'Rest', 'Shadow Ball', 'Shadow Sneak', 'Sleep Talk', 'Will-O-Wisp']"
Dustox,[Gen 3] NU,9,25,"['Giga Drain', 'Hidden Power', 'Light Screen', 'Moonlight', 'Psychic', 'Sludge Bomb', 'Substitute', 'Toxic', 'Whirlwind']"
Dustox,[Gen 3] OU,68,77,"['Aerial Ace', 'Confusion', 'Double-Edge', 'Flash', 'Giga Drain', 'Gust', 'Hidden Power', 'Light Screen', 'Moonlight', 'Poison Sting', 'Protect', 'Psybeam', 'Psychic', 'Silver Wind', 'Sludge Bomb', 'Solar Beam', 'String Shot', 'Substitute', 'Sunny Day', 'Thief', 'Toxic', 'Whirlwind']"
Dustox,[Gen 3] UBERS,20,30,"['Confusion', 'Gust', 'Light Screen', 'Moonlight', 'Poison Sting', 'Protect', 'Psybeam', 'Psychic', 'Silver Wind', 'Sludge Bomb', 'String Shot', 'Toxic', 'Whirlwind']"
Dustox,[Gen 3] UU,1,3,"['Light Screen', 'Moonlight', 'Sludge Bomb', 'Substitute', 'Toxic', 'Whirlwind']"
Dustox,[Gen 4] NU,2,0,"['Sludge Bomb', 'U-Turn']"
Dustox,[Gen 4] OU,24,16,"['Aerial Ace', 'Bug Bite', 'Bug Buzz', 'Confusion', 'Defog', 'Flash', 'Giga Drain', 'Hidden Power', 'Iron Defense', 'Light Screen', 'Moonlight', 'Natural Gift', 'Protect', 'Psychic', 'Roost', 'Signal Beam', 'Sludge Bomb', 'String Shot', 'Struggle', 'Swift', 'Toxic', 'U-Turn', 'Whirlwind']"
Dustox,[Gen 4] UBERS,2,7,"['Attract', 'Silver Wind', 'Sludge Bomb', 'Toxic']"
Dustox,[Gen 4] UU,0,1,"['Energy Ball', 'Roost', 'Toxic', 'Whirlwind']"
Eevee,[Gen 1] OU,25,73,"['Bide', 'Bite', 'Blizzard', 'Body Slam', 'Double-Edge', 'Focus Energy', 'Growl', 'Mimic', 'Quick Attack', 'Rage', 'Reflect', 'Rest', 'Sand Attack', 'Skull Bash', 'Substitute', 'Swift', 'Tackle', 'Tail Whip', 'Take Down', 'Toxic']"
Eevee,[Gen 1] UBERS,12,29,"['Body Slam', 'Double-Edge', 'Quick Attack', 'Rest', 'Sand Attack', 'Skull Bash', 'Tackle', 'Tail Whip', 'Take Down']"
Eevee,[Gen 1] UU,13,17,"['Body Slam', 'Focus Energy', 'Quick Attack', 'Reflect', 'Rest']"
Eevee,[Gen 2] NU,3,2,"['Baton Pass', 'Endure', 'Frustration', 'Growth', 'Quick Attack', 'Reflect', 'Shadow Ball', 'Substitute']"
